Step 235, time 0.9045, Loss 5.9896
Step 236, time 0.8981, Loss 5.7455
Step 237, time 0.8858, Loss 6.3684
Step 238, time 0.9114, Loss 5.9139
Step 239, time 0.9090, Loss 6.0306
Step 240, time 0.9075, Loss 6.6091
Step 241, time 0.9125, Loss 6.9129
Step 242, time 0.9018, Loss 6.6587
Step 243, time 0.9139, Loss 6.5047
Step 244, time 0.9017, Loss 5.6264
Step 245, time 0.9119, Loss 8.3616
Step 246, time 0.8876, Loss 6.7405
Step 247, time 0.9016, Loss 5.9293
Step 248, time 0.9219, Loss 5.8506
Step 249, time 0.9540, Loss 6.3790
Step 250, time 0.9544, Loss 6.3497
Step 251, time 0.9216, Loss 6.2832
Step 252, time 0.9082, Loss 6.1623
Step 253, time 0.9070, Loss 6.7922
Step 254, time 0.8937, Loss 6.1582
Step 255, time 0.9076, Loss 6.0811
Step 256, time 0.8924, Loss 5.9430
Step 257, time 0.9112, Loss 7.0286
Step 258, time 0.9005, Loss 6.5410
Step 259, time 0.9139, Loss 5.8117
Step 260, time 0.9009, Loss 6.7042
Step 261, time 0.9220, Loss 5.8308
Step 262, time 0.9021, Loss 6.3110
Step 263, time 0.9013, Loss 5.9401
Step 264, time 0.9038, Loss 5.9313
Step 265, time 0.8847, Loss 6.4472
Step 266, time 0.8823, Loss 7.3460
Step 267, time 0.8900, Loss 6.5616
Step 268, time 0.9100, Loss 5.9302
Step 269, time 0.9240, Loss 6.3182
Step 270, time 0.9153, Loss 6.1726
Step 271, time 0.9124, Loss 6.5273
Step 272, time 0.9226, Loss 5.5976
Step 273, time 0.9213, Loss 6.0798
Step 274, time 0.9073, Loss 6.6319
Step 275, time 0.8949, Loss 5.9023
Step 276, time 0.9121, Loss 6.4601
Step 277, time 0.8953, Loss 6.3480
Step 278, time 0.8876, Loss 6.6793
Step 279, time 0.8928, Loss 6.0892
Step 280, time 0.8870, Loss 6.4406
Step 281, time 0.9156, Loss 6.0693
Step 282, time 0.9030, Loss 6.1395
Step 283, time 0.8984, Loss 6.2211
Step 284, time 0.9254, Loss 5.6035
Step 285, time 0.9410, Loss 6.3126
Step 286, time 0.8901, Loss 5.4149
Step 287, time 0.9088, Loss 6.3475
Step 288, time 0.9033, Loss 6.4001
Step 289, time 0.8986, Loss 6.7729
Step 290, time 0.9113, Loss 5.3618
Step 291, time 0.9162, Loss 6.4470
Step 292, time 0.9074, Loss 6.0013
Step 293, time 0.9146, Loss 5.4850
Step 294, time 0.9040, Loss 6.5125
Step 295, time 0.9114, Loss 5.6171
Step 296, time 0.9080, Loss 6.4826
Step 297, time 0.8861, Loss 6.1332
Step 298, time 0.8836, Loss 6.6279
Step 299, time 0.8908, Loss 6.1870
Step 300, time 0.8976, Loss 6.0310
Step 301, time 0.8913, Loss 5.9848
Step 302, time 0.8998, Loss 6.4422
Step 303, time 0.8950, Loss 6.5667
Step 304, time 0.8982, Loss 5.9804
Step 305, time 0.9189, Loss 6.3772
Step 306, time 0.9248, Loss 5.5171
Step 307, time 0.9101, Loss 6.7813
Step 308, time 0.9284, Loss 6.5828
Step 309, time 0.9119, Loss 5.9567
Step 310, time 0.8905, Loss 6.8189
Step 311, time 0.9025, Loss 6.5014
Step 312, time 0.9156, Loss 6.2201
Step 313, time 0.8995, Loss 6.0957
Step 314, time 0.9054, Loss 6.1648
Step 315, time 0.9219, Loss 6.5303
Step 316, time 0.9126, Loss 5.9986
Step 317, time 0.9150, Loss 5.9394
Step 318, time 0.9107, Loss 6.1039
Step 319, time 0.9171, Loss 5.7727
Step 320, time 0.9119, Loss 5.4421
Step 321, time 0.9066, Loss 6.4971
Step 322, time 0.9288, Loss 6.3568
Step 323, time 0.9140, Loss 6.7685
Step 324, time 0.9003, Loss 6.1455
Step 325, time 0.9020, Loss 5.6770
Step 326, time 0.9083, Loss 6.8598
Step 327, time 0.8994, Loss 6.0211
Step 328, time 0.8959, Loss 6.4901
Step 329, time 0.8928, Loss 6.4690
Step 330, time 0.9211, Loss 6.1081
Step 331, time 0.9227, Loss 5.8140
Step 332, time 0.9148, Loss 6.1815
Step 333, time 0.8878, Loss 6.1490
Step 334, time 0.8951, Loss 6.9633
Step 335, time 0.9096, Loss 6.3850
Step 336, time 0.8908, Loss 5.8170
Step 337, time 0.8965, Loss 6.3133
Step 338, time 0.9068, Loss 6.0626
Step 339, time 0.8984, Loss 5.7184
Step 340, time 0.9113, Loss 5.3957
Step 341, time 0.9110, Loss 5.8658
Step 342, time 0.9175, Loss 5.9910
Step 343, time 0.9171, Loss 6.1533
Step 344, time 0.8908, Loss 6.2859
Step 345, time 0.9045, Loss 5.7894
Step 346, time 0.9054, Loss 7.1353
Step 347, time 0.9080, Loss 6.3222
Step 348, time 0.9169, Loss 5.1430
Step 349, time 0.9201, Loss 6.2728
Step 350, time 0.8821, Loss 6.5013
Step 351, time 0.8968, Loss 6.3953
Step 352, time 0.9003, Loss 5.9321
Step 353, time 0.8944, Loss 7.1349
Step 354, time 0.8942, Loss 7.2867
Step 355, time 0.9051, Loss 5.8606
Step 356, time 0.9061, Loss 6.3723
Step 357, time 0.9121, Loss 6.7266
Step 358, time 0.8946, Loss 5.9789
