Step 286, time 0.5656, Loss 6.4041
Step 287, time 0.5827, Loss 5.8902
Step 288, time 0.5752, Loss 5.8012
Step 289, time 0.5825, Loss 5.8391
Step 290, time 0.5606, Loss 6.2753
Step 291, time 0.5855, Loss 6.3825
Step 292, time 0.5709, Loss 6.9872
Step 293, time 0.5735, Loss 6.5485
Step 294, time 0.5771, Loss 6.3118
Step 295, time 0.5715, Loss 6.4121
Step 296, time 0.5721, Loss 6.7651
Step 297, time 0.5695, Loss 5.8668
Step 298, time 0.5843, Loss 7.7667
Step 299, time 0.5708, Loss 6.4584
Step 300, time 0.5739, Loss 6.9609
Step 301, time 0.5719, Loss 6.4055
Step 302, time 0.5736, Loss 6.6956
Step 303, time 0.5769, Loss 6.7988
Step 304, time 0.5762, Loss 6.2579
Step 305, time 0.5759, Loss 7.8383
Step 306, time 0.5804, Loss 6.9737
Step 307, time 0.5694, Loss 6.2549
Step 308, time 0.5777, Loss 6.5776
Step 309, time 0.5682, Loss 6.4174
Step 310, time 0.5788, Loss 6.5908
Step 311, time 0.5739, Loss 6.3619
Step 312, time 0.5769, Loss 6.3828
Step 313, time 0.5712, Loss 6.1460
Step 314, time 0.5729, Loss 6.0366
Step 315, time 0.5710, Loss 6.1694
Step 316, time 0.5816, Loss 5.8457
Step 317, time 0.5870, Loss 6.9862
Step 318, time 0.5703, Loss 6.0480
Step 319, time 0.5698, Loss 6.7190
Step 320, time 0.5779, Loss 6.2467
Step 321, time 0.5650, Loss 7.0974
Step 322, time 0.5727, Loss 6.1154
Step 323, time 0.5729, Loss 7.9580
Step 324, time 0.5724, Loss 6.5660
Step 325, time 0.5790, Loss 6.2701
Step 326, time 0.5666, Loss 5.9883
Step 327, time 0.5839, Loss 6.1650
Step 328, time 0.5642, Loss 6.1087
Step 329, time 0.5779, Loss 6.1720
Step 330, time 0.5789, Loss 5.8794
Step 331, time 0.5770, Loss 6.4138
Step 332, time 0.5888, Loss 6.3543
Step 333, time 0.5639, Loss 5.8673
Step 334, time 0.5782, Loss 6.0065
Step 335, time 0.5716, Loss 6.3812
Step 336, time 0.5647, Loss 5.8799
Step 337, time 0.5653, Loss 5.7215
Step 338, time 0.5704, Loss 6.1204
Step 339, time 0.5718, Loss 6.3840
Step 340, time 0.5787, Loss 5.8459
Step 341, time 0.5661, Loss 7.3578
Step 342, time 0.5679, Loss 6.1250
Step 343, time 0.5775, Loss 6.4339
Step 344, time 0.5648, Loss 5.8907
Step 345, time 0.5704, Loss 6.0855
Step 346, time 0.5850, Loss 6.5079
Step 347, time 0.5826, Loss 6.1502
Step 348, time 0.5797, Loss 6.3260
Step 349, time 0.5789, Loss 5.6958
Step 350, time 0.5738, Loss 6.2109
Step 351, time 0.5731, Loss 5.7009
Step 352, time 0.5772, Loss 5.8929
Step 353, time 0.5738, Loss 5.6131
Step 354, time 0.5800, Loss 6.3508
Step 355, time 0.5847, Loss 5.8518
Step 356, time 0.5730, Loss 5.9106
Step 357, time 0.5666, Loss 6.5549
Step 358, time 0.5781, Loss 5.7558
Step 359, time 0.5634, Loss 5.5236
Step 360, time 0.5756, Loss 6.8265
Step 361, time 0.5721, Loss 6.5692
Step 362, time 0.5721, Loss 6.4743
Step 363, time 0.5804, Loss 6.4046
Step 364, time 0.5820, Loss 5.9675
Step 365, time 0.5804, Loss 6.2675
Step 366, time 0.5833, Loss 6.1173
Step 367, time 0.5826, Loss 7.2733
Step 368, time 0.5738, Loss 6.0599
Step 369, time 0.5813, Loss 6.0205
Step 370, time 0.5759, Loss 5.9823
Step 371, time 0.5780, Loss 6.3262
Step 372, time 0.5763, Loss 5.8899
Step 373, time 0.5839, Loss 6.4374
Step 374, time 0.5721, Loss 6.3159
Step 375, time 0.5756, Loss 6.1458
Step 376, time 0.5776, Loss 6.0470
Step 377, time 0.5775, Loss 6.2083
Step 378, time 0.5771, Loss 6.0447
Step 379, time 0.5682, Loss 5.8108
Step 380, time 0.5746, Loss 6.2778
Step 381, time 0.5656, Loss 5.7001
Step 382, time 0.5775, Loss 6.1972
Step 383, time 0.5706, Loss 6.3004
Step 384, time 0.5734, Loss 6.1647
Step 385, time 0.5761, Loss 5.8205
Step 386, time 0.5757, Loss 6.0164
Step 387, time 0.5728, Loss 6.3902
Step 388, time 0.5679, Loss 5.7264
Step 389, time 0.5768, Loss 6.4400
Step 390, time 0.5715, Loss 7.1050
Step 391, time 0.5700, Loss 6.2286
Step 392, time 0.5743, Loss 6.2998
Step 393, time 0.5653, Loss 6.1028
Step 394, time 0.5816, Loss 6.0762
Step 395, time 0.5728, Loss 5.9186
Step 396, time 0.5804, Loss 5.9936
Step 397, time 0.5678, Loss 6.2711
Step 398, time 0.5719, Loss 5.8405
Step 399, time 0.5760, Loss 6.2987
Step 400, time 0.5731, Loss 6.1596
Step 401, time 0.5740, Loss 6.1011
Step 402, time 0.5798, Loss 6.1671
